comment,target_by_RuBRT-tiny_no_processing,target_by_RuBRT-tiny_processing,target_by_stars
"До сегодня привозили отличную. Сегодня лежалая со следами порчи и мягкая, пачкает все(",1,1,0
"Яблоки уже отживают свое, становясь мягкими.",0,0,1
"Розовый по цвету, местами битый, совершенно несладкий",0,0,0
"Очень и очень вкусные сладкие яблоки! Беру постоянно , съедаются быстро. Раньше почему то были они не такие хорошие, возможно сменился поставщик и последнее время эти яблочки потрясающие",1,1,1
"Совсем не медовая,...",0,0,1
"На вкус не очень - привкус плесени с землёй, нет свекольной сладости и вкуса. Хотя выглядит очень даже хорошо, свежая.",0,0,0
"Спелый, ароматный",1,1,1
Очень сладкие и в меру сочные мандарины 🍊,1,0,1
"Виноград шикарный, сладкий, в меру твердоват. Рекомендую",1,1,1
Взяла зелёный банан. Как всегда вкусный,1,1,1
"Вкусные, кожица не тонкая, средней сочности",1,1,1
За такую цену отличные помидоры 🍅,1,1,1
Не сладкая (,0,0,0
Хорошая свёкла попалась.,1,1,1
"Свежий, вкусный перец. Порадовала персональная скидка на него",1,1,1
"Помидоры отвратительные, режутся по звуку, как яблоко. Вкус никакой, благо взяла чуть-чуть. Ещё и привезли один из трёх повреждённый.",0,0,0
Много битого картофеля,0,0,0
Вкусная дыня!,1,1,1
"Отвратительная картошка , вся разная по размеру зеленая . Зачем кладите в заказ то что вас не просят предупреждаешь пишешь и положили г ….",0,0,0
Капуста внутри пустая. Маленький выглядит так будто бы обчистили листья с большого,0,0,0
"Крупно порезано, немного кислит",0,0,0
"Вкусные молодые огурцы. Плоды свежие и хрустящие. Не переросли, семян внутри мало. Не водянистые.",0,1,1
"Отнеслась с недоверием к отзывам. Поставила любимым продуктом, заказала внукам, детям и себе. Клубника с виду красивая отборная, ягодки одна к одной, сборщику спасибо большое. На вкус... А вкуса вообще нет. Или пресная, или кислятина, запаха клубники вообще нет. Тройку поставила за добросовестную сбору, а так бы только 1",0,0,0
Не понимаю отрицательных отзывов! Вы как будто специально пишите их. Арбуз очень сочный и сладкий! Вкусный! Мне даже летом менее сладкие и вкусные попадаются.,1,0,1
Наполовину гнилые.,0,0,0
"Безвкусная клубника, брала почти каждый день. В этот раз совсем плохая",0,1,0
"сладкий. плоды крупные и одинакового размера.
брала еще ""отборное""
одна страна произв. Перу но по вкусу этому винограду проигрывает.",0,0,1
Сладкий и вкусный,1,1,1
Сладкий и всегда свежий,1,1,1
Вкусные бананы даже по скидке,1,1,1
"Половина яблок мятые, с побитыми боками:(",0,0,0
Груши деревянные несъедобные,0,0,0
Заплесневели на следующий день,0,0,0
"Виноград не кислый, но и не особо сладкий, больше всего не понравилась толстая кожа..",0,0,1
"Цены во ВВ растут быстрее, чем я успеваю заказать второй раз понравившийся товар...",0,1,1
"Не вкусный, вялый, не сладкий, зря потраченные деньги 880 руб.",0,0,0
Отличных три корнеплода с зелеными листочками. Как раз для свекольника!,1,1,1
"Хорошие, но очень мелкие мандарины",1,1,1
"Яблоки пришли внешне твёрдые, а внутри рыхлые. Покупала для сока, не получился сок. И есть их невкусно.",0,0,0
Сухие внутри,0,0,0
"Не плотный,сухой,плохой!((((",0,0,0
Понравился,1,1,1
"Вкусная. Для клубники, которую везут в Москву, очень даже хороша. Спасибо тем, кто вырастил и собрал.",1,1,1
"Сладкие, сочные, вкусные!",1,1,1
"нормально, есть можно",1,1,1
